原料类型,霉变情况,来源情况,预估等级,茶渣_储存时间,果渣_褐变情况,原料是否匹配,等级是否匹配,路线_推荐强度,路线_风险等级,路线_首选目标,路线_适用原料类,路线_适用等级,匹配得分,成本得分,技术得分,碳减排得分,市场得分
中药残余废弃物,轻度,基本可追溯,优,,,0,1,中,低,能源化利用,花生壳/板栗壳,差（优/良也可）,4.823749159576908,8,8,8,5
茶渣,严重,来源不明,优,否,,1,0,中,低,无害化兜底,茶渣,差,5.872173820505556,8,8,8,5
花生壳/板栗壳,轻度,明确可追溯,差,,,0,0,高,中,材料主线,茶渣,优/良,3.0723244771850604,5,5,5,8
花生壳/板栗壳,无,明确可追溯,差,,,0,1,中,低,无害化兜底,茶渣,差,5.160180247879204,8,8,8,5
豆制品/粮食发酵副产物,无,明确可追溯,优,,,1,1,中高,中高,食品支线,豆腐渣为主/客家黄酒酒糟为辅,优/良,7.954839285173955,5,5,5,5
豆制品/粮食发酵副产物,无,来源不明,优,,,0,0,中,低,无害化兜底,茶渣,差,1.7923448334680918,8,8,8,5
茶渣,轻度,明确可追溯,差,是,,0,0,中高,中高,食品支线,豆腐渣为主/客家黄酒酒糟为辅,优/良,0.9860901705643105,5,5,5,5
豆制品/粮食发酵副产物,无,基本可追溯,差,,,0,0,高,中高,食品支线,葡萄皮/柑橘皮/脐橙副产物/猕猴桃副产物,优/良,1.7346560897918821,5,5,5,8
中药残余废弃物,轻度,明确可追溯,优,,,0,0,中,低,无害化兜底,柑橘皮/葡萄皮/葡萄籽/猕猴桃副产物/脐橙副产物/水晶梨副产物/混合果渣,差,1.5657299984641442,8,8,8,5
豆制品/粮食发酵副产物,轻度,来源不明,良,,,1,1,中高,中高,食品支线,豆腐渣为主/客家黄酒酒糟为辅,优/良,7.553635613577607,5,5,5,5
花生壳/板栗壳,轻度,基本可追溯,良,,,0,1,高,中,材料主线,茶渣,优/良,5.5030260560969015,5,5,5,8
花生壳/板栗壳,严重,来源不明,优,,,1,1,高,中,材料主线,花生壳/板栗壳,优/良,9.750405520847085,5,5,5,8
豆制品/粮食发酵副产物,轻度,来源不明,优,,,0,1,中高,低,农用材料路线,花生壳/板栗壳,良/差（优也可）,5.8161554232338695,5,5,8,5
果渣（柑橘/葡萄/猕猴桃等）,轻度,基本可追溯,良,,是,0,1,高,中高,食品支线,葡萄籽,优/良,4.546054912754884,5,5,5,8
茶渣,无,来源不明,优,是,,0,1,高,中高,食品支线,葡萄皮/柑橘皮/脐橙副产物/猕猴桃副产物,优/良,5.185071235179179,5,5,5,8
果渣（柑橘/葡萄/猕猴桃等）,轻度,基本可追溯,差,,是,0,0,高,中高,食品支线,葡萄籽,优/良,1.8566757501469437,5,5,5,8
豆制品/粮食发酵副产物,严重,来源不明,优,,,1,1,中高,中高,食品支线,豆腐渣为主/客家黄酒酒糟为辅,优/良,0.06942138131047448,5,5,5,5
茶渣,严重,明确可追溯,优,否,,0,1,高,中,材料主线,豆腐渣/客家黄酒酒糟,良/差（优也可）,5.923306736130809,5,5,5,8
花生壳/板栗壳,轻度,来源不明,良,,,0,1,高,中高,食品支线,葡萄皮/柑橘皮/脐橙副产物/猕猴桃副产物,优/良,5.121757340444539,5,5,5,8
茶渣,轻度,明确可追溯,优,否,,0,1,高,中,食品支线,柑橘皮/脐橙副产物/猕猴桃副产物/水晶梨副产物,优/良,6.002291238393687,5,5,5,8
果渣（柑橘/葡萄/猕猴桃等）,无,来源不明,良,,是,1,1,高,中高,食品支线,葡萄皮/柑橘皮/脐橙副产物/猕猴桃副产物,优/良,8.773487273764975,5,5,5,8
茶渣,严重,基本可追溯,优,是,,0,1,高,中高,食品支线,葡萄皮/柑橘皮/脐橙副产物/猕猴桃副产物,优/良,0.0,5,5,5,8
豆制品/粮食发酵副产物,轻度,基本可追溯,良,,,0,1,高,中高,食品支线,葡萄皮/柑橘皮/脐橙副产物/猕猴桃副产物,优/良,4.519588705743983,5,5,5,8
豆制品/粮食发酵副产物,轻度,基本可追溯,差,,,0,1,中,低,无害化兜底,柑橘皮/葡萄皮/葡萄籽/猕猴桃副产物/脐橙副产物/水晶梨副产物/混合果渣,差,5.048623959925468,8,8,8,5
中药残余废弃物,严重,来源不明,良,,,0,1,中高,低,材料主线,柑橘皮/葡萄皮/猕猴桃副产物/脐橙副产物/水晶梨副产物/提取后残渣,优/良/差,6.400192174524231,5,5,8,5
豆制品/粮食发酵副产物,轻度,明确可追溯,良,,,1,1,高,低,前处理稳定化,豆腐渣/客家黄酒酒糟,优/良/差,11.365898907377169,5,5,8,8
豆制品/粮食发酵副产物,严重,基本可追溯,差,,,0,0,高,中,材料主线,茶渣,优/良,3.065530927514509,5,5,5,8
果渣（柑橘/葡萄/猕猴桃等）,轻度,来源不明,差,,是,1,0,高,中,食品支线,柑橘皮/脐橙副产物/猕猴桃副产物/水晶梨副产物,优/良,7.276667025221865,5,5,5,8
中药残余废弃物,轻度,明确可追溯,优,,,0,1,高,低,前处理稳定化,豆腐渣/客家黄酒酒糟,优/良/差,7.3793699953317775,5,5,8,8
中药残余废弃物,严重,来源不明,差,,,0,0,中高,中高,食品支线,豆腐渣为主/客家黄酒酒糟为辅,优/良,0.15884797648759774,5,5,5,5
中药残余废弃物,轻度,来源不明,差,,,0,0,中高,中高,食品支线,豆腐渣为主/客家黄酒酒糟为辅,优/良,1.3664658859361265,5,5,5,5
花生壳/板栗壳,严重,基本可追溯,优,,,0,1,高,低到中,材料主线,五指毛桃残余/布惊根残余/黄板树根残余/其他根茎木质型中药残余,优/良/差,5.28687299394534,5,5,5,8
茶渣,轻度,来源不明,良,否,,1,0,中,低,无害化兜底,茶渣,差,5.53573096069953,8,8,8,5
中药残余废弃物,严重,来源不明,优,,,0,1,高,低,前处理稳定化,豆腐渣/客家黄酒酒糟,优/良/差,7.21798923391996,5,5,8,8
中药残余废弃物,严重,明确可追溯,差,,,0,1,高,中,材料主线,豆腐渣/客家黄酒酒糟,良/差（优也可）,6.206404204964897,5,5,5,8
豆制品/粮食发酵副产物,严重,来源不明,优,,,0,0,中,低,无害化兜底,茶渣,差,2.0765726620290335,8,8,8,5
中药残余废弃物,严重,来源不明,良,,,0,1,高,中高,食品支线,葡萄籽,优/良,0.48996139991703935,5,5,5,8
花生壳/板栗壳,轻度,明确可追溯,差,,,0,0,高,中,材料主线,茶渣,优/良,3.2445255084527926,5,5,5,8
花生壳/板栗壳,轻度,基本可追溯,优,,,0,1,高,中,材料主线,豆腐渣/客家黄酒酒糟,良/差（优也可）,6.021501768724568,5,5,5,8
茶渣,轻度,来源不明,差,否,,1,1,中,低,无害化兜底,茶渣,差,8.928504169877018,8,8,8,5
豆制品/粮食发酵副产物,无,明确可追溯,优,,,0,1,高,低,材料主线,花生壳/板栗壳,优/良/差,6.861160143328767,5,5,8,8
果渣（柑橘/葡萄/猕猴桃等）,轻度,来源不明,良,,是,0,0,中,高,食品支线,茶渣,优,0.0,5,5,2,5
花生壳/板栗壳,轻度,来源不明,优,,,1,1,高,中,材料主线,花生壳/板栗壳,优/良,10.081826675038002,5,5,5,8
中药残余废弃物,轻度,来源不明,优,,,0,1,高,中,材料主线,豆腐渣/客家黄酒酒糟,良/差（优也可）,5.982077573848488,5,5,5,8
花生壳/板栗壳,严重,基本可追溯,良,,,0,1,高,中高,食品支线,葡萄籽,优/良,0.10945526722344856,5,5,5,8
花生壳/板栗壳,严重,明确可追溯,差,,,1,1,高,低,材料主线,花生壳/板栗壳,优/良/差,10.536731879274944,5,5,8,8
茶渣,轻度,来源不明,良,否,,0,0,中,低,无害化兜底,柑橘皮/葡萄皮/葡萄籽/猕猴桃副产物/脐橙副产物/水晶梨副产物/混合果渣,差,2.324199246981549,8,8,8,5
中药残余废弃物,轻度,明确可追溯,良,,,0,1,高,中,材料主线,茶渣,优/良,5.590171454855099,5,5,5,8
花生壳/板栗壳,严重,基本可追溯,差,,,0,0,中,中高,农用资源化,五指毛桃残余/布惊根残余/黄板树根残余/其他来源明确且安全性较可控的中药残余,优/良,0.09977333453891335,5,5,5,5
果渣（柑橘/葡萄/猕猴桃等）,无,来源不明,优,,是,1,0,中,低,无害化兜底,柑橘皮/葡萄皮/葡萄籽/猕猴桃副产物/脐橙副产物/水晶梨副产物/混合果渣,差,5.7796833664200085,8,8,8,5
果渣（柑橘/葡萄/猕猴桃等）,严重,来源不明,良,,是,1,0,中,低,无害化兜底,柑橘皮/葡萄皮/葡萄籽/猕猴桃副产物/脐橙副产物/水晶梨副产物/混合果渣,差,5.542853445388769,8,8,8,5
豆制品/粮食发酵副产物,严重,来源不明,差,,,0,1,中,低,无害化兜底,茶渣,差,4.677031872534436,8,8,8,5
花生壳/板栗壳,严重,来源不明,差,,,0,0,中,高,食品支线,茶渣,优,0.0,5,5,2,5
花生壳/板栗壳,轻度,来源不明,优,,,0,1,高,中高,食品支线,葡萄皮/柑橘皮/脐橙副产物/猕猴桃副产物,优/良,5.080898954474797,5,5,5,8
豆制品/粮食发酵副产物,轻度,明确可追溯,优,,,0,1,高,低到中,材料主线,五指毛桃残余/布惊根残余/黄板树根残余/其他根茎木质型中药残余,优/良/差,5.336922801581771,5,5,5,8
花生壳/板栗壳,轻度,基本可追溯,良,,,0,0,中,低,无害化兜底,柑橘皮/葡萄皮/葡萄籽/猕猴桃副产物/脐橙副产物/水晶梨副产物/混合果渣,差,1.7614497212899052,8,8,8,5
果渣（柑橘/葡萄/猕猴桃等）,严重,基本可追溯,良,,否,0,1,高,中,材料主线,豆腐渣/客家黄酒酒糟,良/差（优也可）,6.423545282544864,5,5,5,8
茶渣,轻度,明确可追溯,良,是,,1,0,中,低,无害化兜底,茶渣,差,5.508659476122546,8,8,8,5
茶渣,轻度,来源不明,差,是,,1,1,中,低,无害化兜底,茶渣,差,8.559791744074268,8,8,8,5
果渣（柑橘/葡萄/猕猴桃等）,严重,基本可追溯,优,,否,0,1,高,中高,食品支线,葡萄籽,优/良,0.2687749646029133,5,5,5,8
茶渣,轻度,基本可追溯,差,是,,1,1,中,低,无害化兜底,茶渣,差,8.515502620482376,8,8,8,5
中药残余废弃物,轻度,基本可追溯,优,,,1,1,高,低到中,材料主线,五指毛桃残余/布惊根残余/黄板树根残余/其他根茎木质型中药残余,优/良/差,9.496764511997272,5,5,5,8
花生壳/板栗壳,轻度,基本可追溯,差,,,0,0,中高,中高,食品支线,豆腐渣为主/客家黄酒酒糟为辅,优/良,0.8471839355320923,5,5,5,5
中药残余废弃物,轻度,来源不明,良,,,0,1,中高,低,农用材料路线,花生壳/板栗壳,良/差（优也可）,5.579317569763841,5,5,8,5
果渣（柑橘/葡萄/猕猴桃等）,轻度,明确可追溯,差,,否,0,0,中,高,食品支线,茶渣,优,0.05153638846387787,5,5,2,5
花生壳/板栗壳,严重,明确可追溯,良,,,0,1,高,低,前处理稳定化,豆腐渣/客家黄酒酒糟,优/良/差,7.484557404944945,5,5,8,8
中药残余废弃物,轻度,来源不明,优,,,0,1,高,中,材料主线,豆腐渣/客家黄酒酒糟,良/差（优也可）,5.518605513330771,5,5,5,8
茶渣,严重,明确可追溯,良,是,,0,0,中,低,无害化兜底,柑橘皮/葡萄皮/葡萄籽/猕猴桃副产物/脐橙副产物/水晶梨副产物/混合果渣,差,2.2745158153093294,8,8,8,5
茶渣,轻度,基本可追溯,良,是,,0,1,高,中,食品支线,柑橘皮/脐橙副产物/猕猴桃副产物/水晶梨副产物,优/良,5.9591363019384,5,5,5,8
花生壳/板栗壳,轻度,来源不明,差,,,0,1,高,中,材料主线,豆腐渣/客家黄酒酒糟,良/差（优也可）,5.525754917932243,5,5,5,8
豆制品/粮食发酵副产物,无,明确可追溯,差,,,0,0,高,中高,食品支线,葡萄籽,优/良,2.1356314926264055,5,5,5,8
中药残余废弃物,无,基本可追溯,差,,,0,1,中,低,无害化兜底,茶渣,差,5.304373711415908,8,8,8,5
花生壳/板栗壳,轻度,基本可追溯,差,,,0,1,中高,低,材料主线,柑橘皮/葡萄皮/猕猴桃副产物/脐橙副产物/水晶梨副产物/提取后残渣,优/良/差,6.112986640810762,5,5,8,5
中药残余废弃物,无,基本可追溯,优,,,1,1,中,中高,农用资源化,五指毛桃残余/布惊根残余/黄板树根残余/其他来源明确且安全性较可控的中药残余,优/良,7.431863714191167,5,5,5,5
果渣（柑橘/葡萄/猕猴桃等）,轻度,来源不明,良,,是,0,1,高,中,材料主线,花生壳/板栗壳,优/良,6.3548048218507125,5,5,5,8
茶渣,轻度,基本可追溯,优,是,,1,0,中,低,无害化兜底,茶渣,差,5.648757001465316,8,8,8,5
豆制品/粮食发酵副产物,严重,明确可追溯,良,,,0,1,中,低,能源化利用,花生壳/板栗壳,差（优/良也可）,4.735678579926577,8,8,8,5
中药残余废弃物,严重,明确可追溯,差,,,0,0,中,高,食品支线,茶渣,优,0.08552907485840011,5,5,2,5
果渣（柑橘/葡萄/猕猴桃等）,无,明确可追溯,差,,是,0,1,高,低,前处理稳定化,豆腐渣/客家黄酒酒糟,优/良/差,6.8576055622879,5,5,8,8
中药残余废弃物,轻度,基本可追溯,差,,,0,1,高,低,材料主线,花生壳/板栗壳,优/良/差,7.253716168014295,5,5,8,8
花生壳/板栗壳,轻度,来源不明,良,,,0,1,高,中,食品支线,柑橘皮/脐橙副产物/猕猴桃副产物/水晶梨副产物,优/良,6.026507822726488,5,5,5,8
花生壳/板栗壳,严重,明确可追溯,良,,,0,0,中,低,无害化兜底,柑橘皮/葡萄皮/葡萄籽/猕猴桃副产物/脐橙副产物/水晶梨副产物/混合果渣,差,2.39001095271748,8,8,8,5
豆制品/粮食发酵副产物,严重,来源不明,差,,,0,1,高,低,材料主线,茶渣,优/良/差,7.423786137552979,5,5,8,8
中药残余废弃物,无,来源不明,良,,,0,1,中高,低,农用材料路线,花生壳/板栗壳,良/差（优也可）,6.072341649077241,5,5,8,5
花生壳/板栗壳,无,明确可追溯,优,,,0,1,中高,中高,食品支线,豆腐渣为主/客家黄酒酒糟为辅,优/良,4.489722274551575,5,5,5,5
茶渣,无,来源不明,优,否,,0,1,中高,低,农用利用/兜底去向,豆腐渣/客家黄酒酒糟,差（优/良也可）,6.374378441641678,8,8,8,5
豆制品/粮食发酵副产物,轻度,基本可追溯,差,,,0,0,高,中高,食品支线,葡萄籽,优/良,1.7033631584860767,5,5,5,8
果渣（柑橘/葡萄/猕猴桃等）,严重,来源不明,优,,是,0,1,中,中高,农用资源化,五指毛桃残余/布惊根残余/黄板树根残余/其他来源明确且安全性较可控的中药残余,优/良,3.1499357816712505,5,5,5,5
茶渣,严重,基本可追溯,良,是,,0,1,高,中,材料主线,豆腐渣/客家黄酒酒糟,良/差（优也可）,5.931807521793467,5,5,5,8
花生壳/板栗壳,无,明确可追溯,良,,,1,1,中高,低,农用材料路线,花生壳/板栗壳,良/差（优也可）,9.753993912400327,5,5,8,5
豆制品/粮食发酵副产物,严重,来源不明,优,,,0,0,中,低,无害化兜底,茶渣,差,2.106894367134968,8,8,8,5
茶渣,严重,明确可追溯,差,否,,0,0,高,中,材料主线,花生壳/板栗壳,优/良,3.4202642560908085,5,5,5,8
中药残余废弃物,无,明确可追溯,良,,,0,1,高,中,食品支线,柑橘皮/脐橙副产物/猕猴桃副产物/水晶梨副产物,优/良,6.078283116338742,5,5,5,8
花生壳/板栗壳,严重,来源不明,差,,,0,1,中,低,无害化兜底,茶渣,差,4.548565451513741,8,8,8,5
果渣（柑橘/葡萄/猕猴桃等）,无,明确可追溯,优,,否,0,1,高,低到中,材料主线,五指毛桃残余/布惊根残余/黄板树根残余/其他根茎木质型中药残余,优/良/差,4.660461967088051,5,5,5,8
茶渣,轻度,基本可追溯,优,否,,0,1,中高,低,农用利用/兜底去向,豆腐渣/客家黄酒酒糟,差（优/良也可）,6.181451872005637,8,8,8,5
花生壳/板栗壳,严重,基本可追溯,优,,,1,1,中高,低,农用材料路线,花生壳/板栗壳,良/差（优也可）,10.469348101783655,5,5,8,5
中药残余废弃物,轻度,来源不明,差,,,0,1,中高,低,材料主线,柑橘皮/葡萄皮/猕猴桃副产物/脐橙副产物/水晶梨副产物/提取后残渣,优/良/差,6.036643811277193,5,5,8,5
茶渣,轻度,明确可追溯,差,否,,0,1,中高,低,农用利用/兜底去向,豆腐渣/客家黄酒酒糟,差（优/良也可）,5.887187642779669,8,8,8,5
中药残余废弃物,严重,基本可追溯,良,,,0,1,高,中,材料主线,豆腐渣/客家黄酒酒糟,良/差（优也可）,6.1850673663655735,5,5,5,8
豆制品/粮食发酵副产物,严重,明确可追溯,优,,,0,1,高,中,食品支线,柑橘皮/脐橙副产物/猕猴桃副产物/水晶梨副产物,优/良,0.2942969662480277,5,5,5,8
茶渣,严重,来源不明,优,是,,0,1,高,低,材料主线,花生壳/板栗壳,优/良/差,7.17840996381501,5,5,8,8
花生壳/板栗壳,无,明确可追溯,优,,,0,0,中,低,无害化兜底,茶渣,差,1.9199537549996533,8,8,8,5
茶渣,无,明确可追溯,优,是,,0,1,高,低到中,材料主线,五指毛桃残余/布惊根残余/黄板树根残余/其他根茎木质型中药残余,优/良/差,5.209101289977556,5,5,5,8
中药残余废弃物,轻度,来源不明,优,,,0,1,高,中,材料主线,花生壳/板栗壳,优/良,5.888707962780492,5,5,5,8
花生壳/板栗壳,无,明确可追溯,优,,,0,1,高,中,食品支线,柑橘皮/脐橙副产物/猕猴桃副产物/水晶梨副产物,优/良,5.665895064322974,5,5,5,8
豆制品/粮食发酵副产物,无,明确可追溯,差,,,0,0,高,中高,食品支线,葡萄皮/柑橘皮/脐橙副产物/猕猴桃副产物,优/良,2.3508881428358954,5,5,5,8
豆制品/粮食发酵副产物,无,来源不明,差,,,0,1,中,低,无害化兜底,柑橘皮/葡萄皮/葡萄籽/猕猴桃副产物/脐橙副产物/水晶梨副产物/混合果渣,差,5.071677837489412,8,8,8,5
中药残余废弃物,无,基本可追溯,良,,,0,1,中高,低,农用材料路线,花生壳/板栗壳,良/差（优也可）,6.212222005429435,5,5,8,5
果渣（柑橘/葡萄/猕猴桃等）,无,来源不明,良,,否,0,1,中高,中高,食品支线,豆腐渣为主/客家黄酒酒糟为辅,优/良,3.8964274146870825,5,5,5,5
花生壳/板栗壳,轻度,来源不明,良,,,0,1,高,低,材料主线,茶渣,优/良/差,7.458511888079685,5,5,8,8
果渣（柑橘/葡萄/猕猴桃等）,严重,明确可追溯,差,,否,0,1,高,低,材料主线,茶渣,优/良/差,6.614998294700813,5,5,8,8
果渣（柑橘/葡萄/猕猴桃等）,轻度,来源不明,差,,否,0,0,中高,中高,食品支线,豆腐渣为主/客家黄酒酒糟为辅,优/良,1.2040715827340474,5,5,5,5
茶渣,严重,来源不明,良,否,,0,1,高,低到中,材料主线,五指毛桃残余/布惊根残余/黄板树根残余/其他根茎木质型中药残余,优/良/差,4.857718841916704,5,5,5,8
茶渣,无,基本可追溯,良,否,,0,1,中高,低,材料主线,柑橘皮/葡萄皮/猕猴桃副产物/脐橙副产物/水晶梨副产物/提取后残渣,优/良/差,5.795198632261428,5,5,8,5
花生壳/板栗壳,无,明确可追溯,差,,,0,0,高,中高,食品支线,葡萄皮/柑橘皮/脐橙副产物/猕猴桃副产物,优/良,2.232803705561092,5,5,5,8
茶渣,严重,基本可追溯,优,是,,0,0,中,低,无害化兜底,柑橘皮/葡萄皮/葡萄籽/猕猴桃副产物/脐橙副产物/水晶梨副产物/混合果渣,差,2.1804969715837985,8,8,8,5
中药残余废弃物,严重,来源不明,良,,,0,1,中高,中高,食品支线,豆腐渣为主/客家黄酒酒糟为辅,优/良,0.43639528005172845,5,5,5,5
中药残余废弃物,无,明确可追溯,优,,,0,1,高,中高,食品支线,葡萄皮/柑橘皮/脐橙副产物/猕猴桃副产物,优/良,5.059288634187256,5,5,5,8
花生壳/板栗壳,无,明确可追溯,优,,,1,1,高,低,材料主线,花生壳/板栗壳,优/良/差,11.214430810122344,5,5,8,8
中药残余废弃物,无,基本可追溯,差,,,0,0,高,中,材料主线,花生壳/板栗壳,优/良,3.388196073748667,5,5,5,8
果渣（柑橘/葡萄/猕猴桃等）,无,明确可追溯,优,,否,0,1,高,低,前处理稳定化,豆腐渣/客家黄酒酒糟,优/良/差,6.951759156529014,5,5,8,8
茶渣,轻度,来源不明,差,是,,1,1,高,低,材料主线,茶渣,优/良/差,10.72941532450599,5,5,8,8
中药残余废弃物,严重,来源不明,差,,,0,0,中高,中高,食品支线,豆腐渣为主/客家黄酒酒糟为辅,优/良,0.0,5,5,5,5
豆制品/粮食发酵副产物,轻度,基本可追溯,良,,,1,1,高,低,前处理稳定化,豆腐渣/客家黄酒酒糟,优/良/差,10.802208401382705,5,5,8,8
茶渣,严重,基本可追溯,差,是,,0,1,中高,低,农用利用/兜底去向,豆腐渣/客家黄酒酒糟,差（优/良也可）,5.773163365427583,8,8,8,5
茶渣,严重,来源不明,优,是,,0,1,中,低,能源化利用,花生壳/板栗壳,差（优/良也可）,4.915311161339377,8,8,8,5
果渣（柑橘/葡萄/猕猴桃等）,严重,来源不明,良,,否,0,0,中,高,食品支线,茶渣,优,0.18188383434445365,5,5,2,5
果渣（柑橘/葡萄/猕猴桃等）,轻度,基本可追溯,良,,否,0,1,中高,低,农用利用/兜底去向,豆腐渣/客家黄酒酒糟,差（优/良也可）,6.450683626217192,8,8,8,5
中药残余废弃物,轻度,明确可追溯,优,,,0,1,高,中,材料主线,花生壳/板栗壳,优/良,5.8064796689454905,5,5,5,8
豆制品/粮食发酵副产物,严重,基本可追溯,良,,,0,1,高,低,材料主线,茶渣,优/良/差,7.215668307184074,5,5,8,8
花生壳/板栗壳,严重,明确可追溯,优,,,0,1,高,中,材料主线,茶渣,优/良,6.224930646605867,5,5,5,8
果渣（柑橘/葡萄/猕猴桃等）,无,来源不明,优,,否,0,1,高,中,材料主线,豆腐渣/客家黄酒酒糟,良/差（优也可）,6.443318871678845,5,5,5,8
